Type,Campaign,Ad Group,Keyword,Match Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Status
Campaign,Fight Health Insurance - Microsites,,,,,,,,,,,,,,,,,,,,,,,,,,Active
Ad Group,Fight Health Insurance - Microsites,Appealing MRI Denials,,,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[aetna denied mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""aetna denied mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[appeal letter for mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""appeal letter for mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[appeal mri scan denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""appeal mri scan denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[blue cross denied mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""blue cross denied mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[fight mri scan denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""fight mri scan denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[how to appeal mri scan denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""how to appeal mri scan denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[insurance denied mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""insurance denied mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[insurance refusing mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""insurance refusing mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[insurance won't cover mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""insurance won't cover mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
