Campaign,Ad Group,Keyword,Match Type,Bid
Fight Health Insurance - Microsites,Appealing MRI Denials,[aetna denied mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""aetna denied mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,aetna denied mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[appeal letter for mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""appeal letter for mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,appeal letter for mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[appeal mri scan denial],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""appeal mri scan denial""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,appeal mri scan denial,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[blue cross denied mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""blue cross denied mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,blue cross denied mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[cigna denied mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""cigna denied mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,cigna denied mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[fight mri scan denial],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""fight mri scan denial""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,fight mri scan denial,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[how to appeal mri scan denial],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""how to appeal mri scan denial""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,how to appeal mri scan denial,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[humana denied mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""humana denied mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,humana denied mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[insurance denied mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""insurance denied mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,insurance denied mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[insurance refusing mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""insurance refusing mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,insurance refusing mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[insurance won't cover mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""insurance won't cover mri scan""",Phrase,
